name,category,homepage,locateion
THE LAMP ROOM CAFE,軽食,https://tabelog.com/hokkaido/A0108/A010803/1073644/,https://www.google.com/maps/d/viewer?mid=1qOVBnvYFo92NqgpxxWFQ7HffDQb8iUo&ll=42.34674620000001%2C141.0328872&z=11
CAFE工房MISUZU×食品倉庫 室蘭店,軽食,https://www.instagram.com/kobomuroran?igsh=NG9nN21sbHhtemti,https://www.google.com/maps/d/viewer?mid=1qOVBnvYFo92NqgpxxWFQ7HffDQb8iUo&ll=42.34674620000001%2C141.0328872&z=11
TENTO,軽食,https://npotentoten.wixsite.com/tentotenwebsite,https://www.google.com/maps/d/viewer?mid=1qOVBnvYFo92NqgpxxWFQ7HffDQb8iUo&ll=42.34674620000001%2C141.0328872&z=11
